problema,modelo,n,min,max,mean,std,median
acrobot,IZ-A,11,-135.65,-72.05,-98.7,19.627187776143582,-96.85
acrobot,IZ-B,11,-147.6,-72.5,-94.66818181818184,23.931049629375565,-85.35
acrobot,IZ-C,11,-152.3,-73.25,-108.58636363636364,26.161556632863903,-95.15
acrobot,IZ-D,11,-145.85,-82.85,-114.0681818181818,20.270227832060407,-115.35
acrobot,IZ-E,11,-140.75,-73.4,-99.65454545454546,23.296496029933927,-94.65
acrobot,IZ-F,11,-94.15,-72.55,-81.89090909090909,7.60005980837711,-82.2
acrobot,IZ-G,11,-140.4,-74.55,-103.1090909090909,22.53554767674638,-96.5
acrobot,IZ-H,11,-164.05,-82.4,-110.94545454545454,32.509686668325905,-97.1
cartpole,IZ-A,11,282.27,500.0,426.3790909090909,79.9843460252749,446.31
cartpole,IZ-B,11,354.52,500.0,468.05727272727273,53.734878820168404,496.44
cartpole,IZ-C,11,295.16,500.0,398.6963636363636,68.13529559233265,421.48
cartpole,IZ-D,11,284.15,498.77,349.7836363636364,78.51873907198552,308.24
cartpole,IZ-E,11,376.97,500.0,469.93999999999994,42.541031957393784,496.02
cartpole,IZ-F,11,314.03,500.0,463.16818181818184,71.27500288574977,500.0
cartpole,IZ-G,11,358.31,500.0,473.67545454545456,43.535376043773034,497.63
cartpole,IZ-H,11,277.25,500.0,426.469090909091,61.28129020419617,433.51
mountain,IZ-A,11,-131.1,-99.9,-113.5272727272727,10.925757722839261,-116.7
mountain,IZ-B,11,-199.2,-103.2,-121.47272727272728,26.33602441178588,-116.0
mountain,IZ-C,11,-166.5,-98.8,-120.12727272727274,16.38817200965934,-117.6
mountain,IZ-D,11,-119.8,-95.6,-115.48181818181816,6.96028996261193,-118.3
mountain,IZ-E,11,-168.2,-99.4,-114.43636363636364,19.021107892405883,-110.2
mountain,IZ-F,11,-120.8,-102.8,-111.32727272727271,4.783114238462407,-111.0
mountain,IZ-G,11,-149.8,-104.4,-112.97272727272728,13.264847598754457,-107.4
mountain,IZ-H,11,-119.9,-98.6,-112.96363636363638,7.746001901274328,-115.7
