dataset,encoder,decoder,model,run,nodes,connections,hidden
bc,ss,fs,IZ-A,0,122,241,0
bc,ss,fs,IZ-A,1,123,243,1
bc,ss,fs,IZ-A,10,122,241,0
bc,ss,fs,IZ-A,2,122,240,0
bc,ss,fs,IZ-A,3,123,241,1
bc,ss,fs,IZ-A,4,122,243,0
bc,ss,fs,IZ-A,5,122,242,0
bc,ss,fs,IZ-A,6,122,241,0
bc,ss,fs,IZ-A,7,124,248,2
bc,ss,fs,IZ-A,8,123,243,1
bc,ss,fs,IZ-A,9,124,243,2
bc,ss,fs,IZ-B,0,123,244,1
bc,ss,fs,IZ-B,1,122,243,0
bc,ss,fs,IZ-B,10,124,245,2
bc,ss,fs,IZ-B,2,122,242,0
bc,ss,fs,IZ-B,3,122,240,0
bc,ss,fs,IZ-B,4,124,244,2
bc,ss,fs,IZ-B,5,122,242,0
bc,ss,fs,IZ-B,6,123,243,1
bc,ss,fs,IZ-B,7,125,244,3
bc,ss,fs,IZ-B,8,123,244,1
bc,ss,fs,IZ-B,9,123,244,1
bc,ss,fs,IZ-C,0,122,240,0
bc,ss,fs,IZ-C,1,123,241,1
bc,ss,fs,IZ-C,10,123,243,1
bc,ss,fs,IZ-C,2,123,243,1
bc,ss,fs,IZ-C,3,123,242,1
bc,ss,fs,IZ-C,4,123,242,1
bc,ss,fs,IZ-C,5,123,242,1
bc,ss,fs,IZ-C,6,122,240,0
bc,ss,fs,IZ-C,7,124,243,2
bc,ss,fs,IZ-C,8,123,244,1
bc,ss,fs,IZ-C,9,123,242,1
bc,ss,fs,IZ-D,0,124,243,2
bc,ss,fs,IZ-D,1,123,242,1
bc,ss,fs,IZ-D,10,122,242,0
bc,ss,fs,IZ-D,2,124,245,2
bc,ss,fs,IZ-D,3,123,241,0
bc,ss,fs,IZ-D,4,123,243,1
bc,ss,fs,IZ-D,5,123,245,1
bc,ss,fs,IZ-D,6,124,243,2
bc,ss,fs,IZ-D,7,122,243,0
bc,ss,fs,IZ-D,8,123,242,1
bc,ss,fs,IZ-D,9,125,246,3
bc,ss,fs,IZ-E,0,123,241,1
bc,ss,fs,IZ-E,1,122,240,0
bc,ss,fs,IZ-E,10,122,241,0
bc,ss,fs,IZ-E,2,124,243,2
bc,ss,fs,IZ-E,3,122,240,0
bc,ss,fs,IZ-E,4,123,241,1
bc,ss,fs,IZ-E,5,123,242,1
bc,ss,fs,IZ-E,6,125,243,3
bc,ss,fs,IZ-E,7,122,243,0
bc,ss,fs,IZ-E,8,123,241,1
bc,ss,fs,IZ-E,9,122,240,0
bc,ss,fs,IZ-F,0,125,244,3
bc,ss,fs,IZ-F,1,124,245,2
bc,ss,fs,IZ-F,10,124,242,2
bc,ss,fs,IZ-F,2,124,245,2
bc,ss,fs,IZ-F,3,123,242,1
bc,ss,fs,IZ-F,4,123,241,1
bc,ss,fs,IZ-F,5,122,243,0
bc,ss,fs,IZ-F,6,124,243,2
bc,ss,fs,IZ-F,7,124,244,2
bc,ss,fs,IZ-F,8,124,243,2
bc,ss,fs,IZ-F,9,124,244,2
bc,ss,fs,IZ-G,0,123,242,1
bc,ss,fs,IZ-G,1,123,243,1
bc,ss,fs,IZ-G,10,123,243,1
bc,ss,fs,IZ-G,2,123,241,1
bc,ss,fs,IZ-G,3,122,241,0
bc,ss,fs,IZ-G,4,123,241,1
bc,ss,fs,IZ-G,5,122,241,0
bc,ss,fs,IZ-G,6,123,241,1
bc,ss,fs,IZ-G,7,124,242,2
bc,ss,fs,IZ-G,8,124,242,2
bc,ss,fs,IZ-G,9,125,243,3
bc,ss,fs,IZ-H,0,123,242,1
