problem,model,run,nodes,connections,hidden
acrobot,IZ-A,0,20,59,5
acrobot,IZ-A,1,20,43,5
acrobot,IZ-A,10,20,41,5
acrobot,IZ-A,2,20,41,5
acrobot,IZ-A,3,21,46,5
acrobot,IZ-A,4,18,43,3
acrobot,IZ-A,5,16,39,1
acrobot,IZ-A,6,21,42,5
acrobot,IZ-A,7,19,42,4
acrobot,IZ-A,8,20,42,5
acrobot,IZ-A,9,17,40,2
acrobot,IZ-B,0,15,37,0
acrobot,IZ-B,1,16,38,1
acrobot,IZ-B,10,15,38,0
acrobot,IZ-B,2,15,36,0
acrobot,IZ-B,3,17,39,1
acrobot,IZ-B,4,15,37,0
acrobot,IZ-B,5,15,37,0
acrobot,IZ-B,6,16,38,0
acrobot,IZ-B,7,15,36,0
acrobot,IZ-B,8,16,37,1
acrobot,IZ-B,9,16,39,0
acrobot,IZ-C,0,20,42,5
acrobot,IZ-C,1,22,45,6
acrobot,IZ-C,10,21,46,5
acrobot,IZ-C,2,18,42,3
acrobot,IZ-C,3,16,39,0
acrobot,IZ-C,4,20,43,5
acrobot,IZ-C,5,15,39,0
acrobot,IZ-C,6,19,43,4
acrobot,IZ-C,7,17,40,2
acrobot,IZ-C,8,21,47,6
acrobot,IZ-C,9,20,41,5
acrobot,IZ-D,0,20,42,5
acrobot,IZ-D,1,20,43,5
acrobot,IZ-D,10,23,45,8
acrobot,IZ-D,2,19,40,4
acrobot,IZ-D,3,20,42,5
acrobot,IZ-D,4,20,42,5
acrobot,IZ-D,5,20,41,5
acrobot,IZ-D,6,20,42,5
acrobot,IZ-D,7,21,44,6
acrobot,IZ-D,8,20,41,5
acrobot,IZ-D,9,21,43,6
acrobot,IZ-E,0,17,39,2
acrobot,IZ-E,1,18,40,2
acrobot,IZ-E,10,17,38,2
acrobot,IZ-E,2,17,39,2
acrobot,IZ-E,3,19,42,4
acrobot,IZ-E,4,16,38,0
acrobot,IZ-E,5,16,38,1
acrobot,IZ-E,6,16,38,1
acrobot,IZ-E,7,19,43,4
acrobot,IZ-E,8,15,37,0
acrobot,IZ-E,9,16,37,1
acrobot,IZ-F,0,18,40,3
acrobot,IZ-F,1,18,39,3
acrobot,IZ-F,10,17,38,2
acrobot,IZ-F,2,15,39,0
acrobot,IZ-F,3,15,38,0
acrobot,IZ-F,4,16,39,0
acrobot,IZ-F,5,16,38,1
acrobot,IZ-F,6,21,44,5
