problem,model,run,fitness
acrobot,IZ-A,0,-79.82
acrobot,IZ-A,1,-79.54
acrobot,IZ-A,2,-112.74
acrobot,IZ-A,3,-75.78
acrobot,IZ-A,4,-94.49
acrobot,IZ-A,5,-79.47
acrobot,IZ-A,6,-86.69
acrobot,IZ-A,7,-94.02
acrobot,IZ-A,8,-81.41
acrobot,IZ-A,9,-83.97
acrobot,IZ-A,10,-86.37
acrobot,IZ-B,0,-77.76
acrobot,IZ-B,1,-83.42
acrobot,IZ-B,2,-106.65
acrobot,IZ-B,3,-78.79
acrobot,IZ-B,4,-116.52
acrobot,IZ-B,5,-110.79
acrobot,IZ-B,6,-122.44
acrobot,IZ-B,7,-116.12
acrobot,IZ-B,8,-85.97
acrobot,IZ-B,9,-96.69
acrobot,IZ-B,10,-88.22
acrobot,IZ-C,0,-156.55
acrobot,IZ-C,1,-77.69
acrobot,IZ-C,2,-152.62
acrobot,IZ-C,3,-101.78
acrobot,IZ-C,4,-154.38
acrobot,IZ-C,5,-83.07
acrobot,IZ-C,6,-102.86
acrobot,IZ-C,7,-98.06
acrobot,IZ-C,8,-152.2
acrobot,IZ-C,9,-134.13
acrobot,IZ-C,10,-155.23
acrobot,IZ-D,0,-158.7
acrobot,IZ-D,1,-87.61
acrobot,IZ-D,2,-108.87
acrobot,IZ-D,3,-91.92
acrobot,IZ-D,4,-96.16
acrobot,IZ-D,5,-140.36
acrobot,IZ-D,6,-95.71
acrobot,IZ-D,7,-101.64
acrobot,IZ-D,8,-98.91
acrobot,IZ-D,9,-127.35
acrobot,IZ-D,10,-101.95
acrobot,IZ-E,0,-108.31
acrobot,IZ-E,1,-84.95
acrobot,IZ-E,2,-115.49
acrobot,IZ-E,3,-121.78
acrobot,IZ-E,4,-89.31
acrobot,IZ-E,5,-102.04
acrobot,IZ-E,6,-87.19
acrobot,IZ-E,7,-92.42
acrobot,IZ-E,8,-86.12
acrobot,IZ-E,9,-115.93
acrobot,IZ-E,10,-90.44
acrobot,IZ-F,0,-95.52
acrobot,IZ-F,1,-82.58
acrobot,IZ-F,2,-83.59
acrobot,IZ-F,3,-78.93
acrobot,IZ-F,4,-93.2
acrobot,IZ-F,5,-82.3
acrobot,IZ-F,6,-92.81
acrobot,IZ-F,7,-107.05
acrobot,IZ-F,8,-83.37
acrobot,IZ-F,9,-78.33
acrobot,IZ-F,10,-78.26
acrobot,IZ-G,0,-500.0
acrobot,IZ-G,1,-108.02
acrobot,IZ-G,2,-122.85
acrobot,IZ-G,3,-148.77
acrobot,IZ-G,4,-128.85
acrobot,IZ-G,5,-110.41
acrobot,IZ-G,6,-121.25
acrobot,IZ-G,7,-80.47
acrobot,IZ-G,8,-91.52
acrobot,IZ-G,9,-92.28
acrobot,IZ-G,10,-164.0
acrobot,IZ-H,0,-106.74
acrobot,IZ-H,1,-79.35
acrobot,IZ-H,2,-91.13
acrobot,IZ-H,3,-97.36
acrobot,IZ-H,4,-103.63
acrobot,IZ-H,5,-99.85
acrobot,IZ-H,6,-154.92
acrobot,IZ-H,7,-109.48
acrobot,IZ-H,8,-111.39
acrobot,IZ-H,9,-139.93
acrobot,IZ-H,10,-93.47
cartpole,IZ-A,0,488.14
cartpole,IZ-A,1,340.23
cartpole,IZ-A,2,446.31
cartpole,IZ-A,3,499.1
cartpole,IZ-A,4,498.75
cartpole,IZ-A,5,282.27
cartpole,IZ-A,6,500.0
cartpole,IZ-A,7,500.0
cartpole,IZ-A,8,424.75
cartpole,IZ-A,9,362.52
cartpole,IZ-A,10,348.1
cartpole,IZ-B,0,459.92
cartpole,IZ-B,1,500.0
cartpole,IZ-B,2,494.35
cartpole,IZ-B,3,475.7
cartpole,IZ-B,4,500.0
cartpole,IZ-B,5,370.84
cartpole,IZ-B,6,496.86
cartpole,IZ-B,7,500.0
cartpole,IZ-B,8,354.52
cartpole,IZ-B,9,500.0
cartpole,IZ-B,10,496.44
cartpole,IZ-C,0,421.48
cartpole,IZ-C,1,295.16
cartpole,IZ-C,2,427.32
cartpole,IZ-C,3,305.34
cartpole,IZ-C,4,382.83
cartpole,IZ-C,5,472.1
cartpole,IZ-C,6,427.91
cartpole,IZ-C,7,408.02
cartpole,IZ-C,8,311.67
cartpole,IZ-C,9,433.83
cartpole,IZ-C,10,500.0
cartpole,IZ-D,0,285.29
cartpole,IZ-D,1,364.01
cartpole,IZ-D,2,284.15
