number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.9,1.382,1.219,0.471,150.0,110.0,0.001,0.453,0.344,0.137,0.047,0.343,0.035,0.774,3.584,COMPLETE,IZ-A
1,0.87,1.0826425525146628,0.9785640587345481,0.4352910101388434,131.18755028477798,97.9971585310307,0.001116827810870431,0.4454574102258124,0.23782103237011015,0.09579219104580927,0.015467036527376186,0.05900249630029811,0.03755082349959102,0.735179577506471,2.1982008458782154,COMPLETE,IZ-A
2,0.89,0.5682293393465148,1.2081033190356454,0.49679196226221567,151.2175575024526,124.79678477983964,0.0008581718363368316,0.5183144430943726,0.28200355464397486,0.18983338924599635,0.03907014779865646,0.1318491789599273,0.027320765147595637,0.78497264706649,2.4939401944794684,COMPLETE,IZ-A
3,0.85,0.8340733608576607,0.9922430135849492,0.4161072392915853,143.4061543900044,116.96564658374996,0.0007095916192300923,0.5221180474301015,0.24761754440587935,0.05259571121084735,0.032686224911505427,0.1486830816826962,0.02678528665841224,0.830679860411525,2.9530120382369587,COMPLETE,IZ-A
4,0.93,0.9151160612295326,0.5518780198140149,0.4894964090083405,134.06536006086864,113.6364078448744,0.0009808371616858106,0.47950097015241006,0.30926403468384955,0.07319084567427024,0.048557335299464634,0.31116031472126054,0.02194004905032651,0.8107721712851201,3.8608647554892146,COMPLETE,IZ-A
5,0.88,1.3009511938949765,0.7422115302032021,0.43391212844966714,136.8815703754275,127.73591218190377,0.0006473887664306759,0.5824673805353376,0.18058644750962544,0.11997946828621515,0.018648264242599313,0.31447326314339896,0.027133047872421424,0.7202919307716887,3.6899806143617555,COMPLETE,IZ-A
6,0.92,0.9504380496174801,1.2159040196426467,0.45309094513275033,155.66997024520376,121.8689274023933,0.0013116329438645714,0.5525403717078438,0.251903974425602,0.1908825388368488,0.01410611471974264,0.29864656156941954,0.03339859154594163,0.762921087983169,2.3972332589063896,COMPLETE,IZ-A
7,0.86,1.3531060028221618,0.8674573950921145,0.39310689411192534,163.95454234540006,115.96410929746366,0.0009118669282339672,0.5920801039109171,0.2677660807744272,0.13518395661388208,0.01724846541351106,0.28392055780635567,0.0332651492935172,0.7693715670039254,3.0225613517070813,COMPLETE,IZ-A
8,0.89,0.6294587975230228,0.9744666064001029,0.3140724920700378,159.17930348805316,101.15472220806086,0.0006527609630773271,0.549273037993635,0.29720984839170517,0.10197372601398769,0.015250207893007572,0.14410260796451146,0.02417375851793107,0.8114894858750591,3.20013106450618,COMPLETE,IZ-A
9,0.9,1.2040478447489287,0.5939310944480505,0.4571634420399239,131.6187437327673,94.16930506709359,0.0013479808392330575,0.442516005782425,0.16171187996952205,0.07475632525826915,0.017634424809458073,0.21087959592473388,0.026457405539933927,0.8979335774736474,2.9634425822835038,COMPLETE,IZ-A
10,0.91,0.7998229110623896,1.4964337694069008,0.36903363192948757,142.14943040182848,104.9597779688907,0.001174506426752481,0.48198410094482314,0.3492303782246989,0.051799435212274446,0.049561143547925054,0.3970947736924041,0.020085348525433838,0.847705616455374,3.9317952805770116,COMPLETE,IZ-A
11,0.92,0.9672180872479774,0.5112503426273244,0.4990213022314648,155.48136245928973,119.55019060740645,0.0014989671754083193,0.48675563607586436,0.21258725915943044,0.19736874600826546,0.02687235659856515,0.2543521153221437,0.0315117569238226,0.7489948760572879,2.0296073267474504,COMPLETE,IZ-A
12,0.88,0.9319980003316258,1.2385343782143006,0.4580829855079119,169.4780391301639,110.86122981584874,0.0012216754252706422,0.41079340084763855,0.3020583677303696,0.14935921822398196,0.026240306293860816,0.3799853252926638,0.020768621385459596,0.8593013203540991,2.5487496569802635,COMPLETE,IZ-A
13,0.85,1.1219870819899163,1.3574368257766407,0.47931814625486663,146.4484833793915,122.51319714468929,0.0013770760707701737,0.550774510618724,0.3198071148911721,0.1671752526384979,0.010467785886317221,0.257013997595451,0.03990786586200228,0.7048281129265311,2.5255178445586814,COMPLETE,IZ-A
14,0.89,0.7202781696865563,0.7454167333223758,0.3758841650255919,158.07522568862296,129.2131466526771,0.0008083423140137718,0.5525551400900488,0.21411549906004887,0.16236175385687712,0.04011038282071625,0.3239691505940144,0.030135933046543106,0.8068532788531697,3.440351724797863,COMPLETE,IZ-A
15,0.9,0.9299124875766297,1.1272935968810744,0.43855359273270167,137.99912207655822,112.38363390126719,0.0010002817457035993,0.5082273984500162,0.2644308451171081,0.08365513886987644,0.03459087824149817,0.2194269398731688,0.0347003135881748,0.7510064548004886,3.9540852088414713,COMPLETE,IZ-A
16,0.86,1.0676071934955238,0.7805258858800925,0.30755327608447974,152.5820244944857,104.49679356916181,0.0010695001812376737,0.4715830523099126,0.3240957731301473,0.11615731490627963,0.02337014503886716,0.3493425553844939,0.023300109637453513,0.7938757091338761,2.7141341181242833,COMPLETE,IZ-A
17,0.9,0.8373264135215278,1.0925725007903282,0.4761744026580558,164.13621199033395,121.58691993119446,0.0005197692698642284,0.531795557074463,0.22140176820178137,0.1792551235312826,0.044477327341375536,0.2864163131095053,0.03178221952087143,0.8282569741859175,3.3020665771389472,COMPLETE,IZ-A
18,0.9,0.697311435040562,1.3649681665818811,0.3388471873940649,147.16372284141244,115.52216065973762,0.0012690344671772932,0.5724777643260639,0.28641590485456225,0.06734077415827039,0.010541907260380554,0.1779747528658825,0.03602587099565268,0.8777048852110185,2.2840604856268762,COMPLETE,IZ-A
19,0.9,1.188070015354831,0.61791967387253,0.4120730253496466,137.09608025425447,107.99688945999294,0.001427994935067227,0.40271496667179585,0.31365809928622124,0.10439817359026435,0.039333708456957994,0.24570053282922713,0.029205110773992196,0.7622623979010599,2.748158095712785,COMPLETE,IZ-A
20,0.87,1.4972450734890537,0.9058997523233879,0.44941833381920426,161.11362717105663,113.67785346515006,0.0012997027572128031,0.4922860705776093,0.18685300188311,0.156390502290351,0.02221448049738272,0.051786307375034896,0.02312418911601185,0.8247650799988308,3.619683012203626,COMPLETE,IZ-A
21,0.89,0.9653017801964151,0.5952866483968517,0.4993996328224766,155.58068226976332,119.67563523155582,0.0014856151173927325,0.472366045390803,0.21107311035113696,0.19168847199311578,0.028705275386131494,0.2873858846147889,0.032019020476160724,0.7421167029117378,2.0386947452951825,COMPLETE,IZ-A
