number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.88,0.7,0.637,0.409,150.0,110.0,0.001,0.489,0.233,0.142,0.048,0.274,0.031,0.728,3.148,COMPLETE,IZ-A
1,0.89,1.2037879582893045,1.2156172643488268,0.47233088400883005,135.68025663787586,92.77749827926709,0.0014750078203795139,0.5194098296715124,0.17542265421212658,0.06257450665733155,0.04708871621470259,0.028133694944833865,0.022003618715771764,0.877289454297778,3.6094729531146634,COMPLETE,IZ-A
2,0.91,0.6289420731502862,0.9662212451677309,0.34161358014170334,135.3191365249943,123.88154567682415,0.0005391882857514837,0.47462886254047226,0.28072568860882186,0.11004571901742713,0.03256990477943944,0.1880938512859295,0.02284008329132242,0.8316345633856395,3.7277054700145724,COMPLETE,IZ-A
3,0.89,0.6416944044172105,1.088070323255983,0.4350939831015753,163.32773652350681,104.95068859523428,0.0007702048195935233,0.4603905203086226,0.2180999534039998,0.1076852521473764,0.03690249767943439,0.08115883157813694,0.035976364074457624,0.7084340213950772,2.957358903571273,COMPLETE,IZ-A
4,0.89,0.9170383064716418,0.8548064466596594,0.4493278246485928,145.08515231965362,121.34355546665137,0.0006024549931185848,0.5734439887568731,0.1511658614880075,0.12716580849235481,0.04583543461032754,0.3585899009156494,0.026463682035269033,0.8749417118397618,2.1570716274021615,COMPLETE,IZ-A
5,0.89,1.2674407402428316,0.9239073706768657,0.4200158193034108,162.46486456406026,108.96324826421602,0.0007295066920248944,0.5836283369640051,0.31229283309850064,0.10150973548350925,0.02117139095663478,0.03456655729520486,0.022918602827525725,0.7425460288700116,2.121129466207708,COMPLETE,IZ-A
6,0.87,0.8915874491724991,0.5991226513475414,0.33697391089547246,163.92915451137247,105.78878953209203,0.0010361869067533668,0.5780002059345987,0.18490882018431587,0.0819092806094808,0.02463607550202436,0.31000925253142597,0.021923999801802884,0.7907431136880834,2.3938118241378383,COMPLETE,IZ-A
7,0.9,1.0821319384303236,0.5547453051059238,0.47635256421758726,163.34430655199805,114.08861558888368,0.0008563730553274171,0.4680315060476232,0.33566548622362324,0.14944662360285213,0.03121474658581571,0.07152106333586022,0.03484138071733193,0.8566554531943432,3.944817019082615,COMPLETE,IZ-A
8,0.88,1.2764151861833493,1.0659115625379596,0.4459173103587384,146.91913839642774,107.25939627368342,0.0014699900293821126,0.5222204560251634,0.21940386440853943,0.13976783591791592,0.021266585019023572,0.30025622158166865,0.021209138073344732,0.8267585850204282,2.1733487744242876,COMPLETE,IZ-A
9,0.9,0.7242768025754012,1.2828261475551404,0.4689929828094713,140.99320531625511,96.65504808014735,0.0012557020553137389,0.4666698093813382,0.2178976322968962,0.14915033389087662,0.0359771658929286,0.39350269096445456,0.027589997216420383,0.7201862851669346,2.5500970416286117,COMPLETE,IZ-A
