number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.92,0.873,0.982,0.382,150.0,110.0,0.001,0.424,0.242,0.106,0.016,0.293,0.03,0.723,3.907,COMPLETE,IZ-A
1,0.9,1.3502902733712752,1.1445698441445278,0.4182265015098083,138.08504124627646,115.32541617384142,0.000571171322437583,0.4490193380112622,0.2699132693628191,0.16443577854125677,0.04718015458513734,0.05618921150916324,0.036540659919912274,0.8522324998679457,3.784764272385356,COMPLETE,IZ-A
2,0.86,1.0880969380003132,0.8072950877828068,0.3313977020274492,142.66516312532053,102.02019652048122,0.0014461578202876763,0.4693682130038475,0.2148761183810428,0.07840694166072633,0.01604042380942997,0.3817058971868041,0.02882135227405093,0.8230067566173683,2.206306481998932,COMPLETE,IZ-A
3,0.83,1.3295287655123342,0.552156504862089,0.39151354441345954,159.5213567610528,91.96063572249854,0.001191288995095545,0.5703937199208534,0.33497631352847446,0.08895951091531251,0.026371367156722704,0.19693025050215082,0.02058844302291013,0.7610713590319858,3.2203753417940453,COMPLETE,IZ-A
4,0.87,1.407480302428561,1.3539476848222018,0.4455706941986746,163.1189792819067,113.64347087760865,0.001208633646432954,0.4902289053064561,0.2012718980243931,0.1258678588151892,0.018485838911105466,0.37307653510590516,0.030974001239220835,0.8947063978651348,3.389417767861921,COMPLETE,IZ-A
5,0.85,0.5693968351385452,1.1211814244835063,0.4647462119099369,133.1119564918767,128.6401028250965,0.0007401554171076797,0.5979269869761085,0.19038105467652916,0.09898892339107533,0.021629831555064045,0.3242569206192196,0.03770111618938626,0.7646710101952872,2.2337189879727397,COMPLETE,IZ-A
6,0.86,1.2714365145662152,0.9558257116715928,0.4584065780438335,148.7408372287607,113.65245622615475,0.0009040106813825214,0.5101947805317505,0.3150828439423444,0.18260286980418744,0.0488434738394748,0.10156206164991914,0.020010735322096913,0.7772959026742101,2.413614206212232,COMPLETE,IZ-A
7,0.84,1.0584158200285159,0.9308966428017545,0.42614999111346097,150.1162156817225,107.04277202283969,0.0007363925029540343,0.5242036314916585,0.1848376835529252,0.1879796457442811,0.03463485073185347,0.2118919450645657,0.02373149912254985,0.8744297796549593,3.9591317560386,COMPLETE,IZ-A
8,0.87,1.4459045450405108,1.3370619343790406,0.4659815226559627,144.59529714897738,126.69848889236933,0.0014519934497468894,0.5618762154925002,0.30715503307208025,0.06991660007946006,0.018607650084506946,0.21488721013621295,0.026177802853461062,0.8478463779344743,2.127235618524738,COMPLETE,IZ-A
9,0.88,0.6528848507380592,0.8139819369196023,0.30086596432279405,166.57146159489494,116.77900376989768,0.0011459678680544177,0.47126497559217284,0.18110367759315144,0.06063002621449283,0.018506251595351964,0.24474028137781179,0.03710885936127403,0.7335404407548558,3.050511458914312,COMPLETE,IZ-A
