number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,200.0,0.53,0.959,0.306,150.0,110.0,0.000549,0.577,0.329,0.0789,0.0436,0.0417,0.0305,0.851,3.241,COMPLETE,IZ_A
1,184.88,0.8261578683494131,0.9524183530318491,0.428147278358049,167.9771484288288,104.44927858632022,0.0014242225194666617,0.4606072144590362,0.26228185688979216,0.09003749417313783,0.03828302187669965,0.35317041104833313,0.03145413399162685,0.872942764376811,3.1463076895352105,COMPLETE,IZ_A
2,175.86,1.3439371160345126,0.5868507636699228,0.3674533807457688,155.64166565716434,97.17610684859747,0.0011024039788049946,0.491420664974237,0.2662658804383944,0.18921348804526267,0.047440935206831916,0.33106677516546423,0.020571100917959294,0.8216791002842613,2.6928827396661887,COMPLETE,IZ_A
3,199.63,0.9221719230065629,0.6257909306764845,0.400733347296114,160.96699035299392,124.02448399599729,0.0007299986144743538,0.5581896919688291,0.2016648242765423,0.07688768977843365,0.023523987009288497,0.23191000798110073,0.02299632988233532,0.8648839906131,3.4706312960457413,COMPLETE,IZ_A
4,200.0,1.0541474214638102,0.7731487027598609,0.3702319165946689,159.8886210833894,125.63912852099071,0.0014260536490952984,0.5335027688383023,0.2579550664259237,0.1516654070898445,0.029857561032361583,0.2823047333618747,0.037328329464059666,0.8881557480337614,2.731590707815831,COMPLETE,IZ_A
5,200.0,1.2094429526245736,1.3243125667800788,0.373750368258524,168.67712335447754,105.05074683126944,0.001318062801463643,0.41551632120067594,0.3447477011075968,0.18083449405884688,0.010322673627413305,0.18694106655099763,0.03734317988321696,0.7762865804932799,3.081624434486364,COMPLETE,IZ_A
6,182.97,0.5401589995057945,0.8722059983168641,0.3689512238072907,161.05843024717842,105.59989080483591,0.0009672662820215749,0.590266769229879,0.2752701897892924,0.057959244128550774,0.01812738201279112,0.038475935133044065,0.03216755182841682,0.838700109211401,3.4633215896638134,COMPLETE,IZ_A
7,200.0,1.482489344002683,0.8927400509526505,0.4552562363121876,130.91561077647407,120.65715228074941,0.001321144104814224,0.5447496873091892,0.2609133323236286,0.10367476880708035,0.03658734259880059,0.09569386875244967,0.033779559338892276,0.7763026371776256,2.1275401793308393,COMPLETE,IZ_A
8,200.0,1.165173620795474,0.6564122621978298,0.4622386986579512,154.6815373671588,109.65006215789785,0.0005073163400062954,0.4499172720159479,0.31836697796260643,0.10815084226612007,0.016266950792748258,0.21699712997294995,0.020496618965981952,0.747230717850273,2.8196261862478633,COMPLETE,IZ_A
9,200.0,0.8764230937594973,1.4071364920877218,0.3621041176953289,147.353353980652,90.03914830922736,0.0010035287879816216,0.5339528956132196,0.34098147657323274,0.17951272131700524,0.022250879971555608,0.24828251163108483,0.021489032516077575,0.7389550385362814,3.88143815127074,COMPLETE,IZ_A
10,196.43,0.5386389592169277,1.1221326546198696,0.30416073823262385,143.08682273921906,116.14949758610875,0.0005008510910999443,0.5953372199376082,0.15404262795738405,0.13616757253005504,0.04952186891217489,0.12610855812129135,0.027501315634159813,0.8261643663063443,2.308439659814137,COMPLETE,IZ_A
