number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.93,1.379,0.91,0.36,150.0,110.0,0.001,0.456,0.22,0.114,0.029,0.03,0.029,0.743,2.656,COMPLETE,IZ-A
1,0.84,0.5809799792172037,0.7348619983098963,0.354246231300319,152.65489402586056,94.29612592075281,0.0008543049779269065,0.5373971791803394,0.22247973764487247,0.09000033322626486,0.0411821808011011,0.09480217223138045,0.026601485829634453,0.8710042202779574,2.8143911656022045,COMPLETE,IZ-A
2,0.84,1.3281212961692945,0.7974255788071264,0.4157129919916562,135.75833717136115,103.94142698754729,0.0011285609937578015,0.43135424367770886,0.32474151177809035,0.11101847159153977,0.025254033426463183,0.19350646891278372,0.036664931846855944,0.7230658981880587,3.592995335615711,COMPLETE,IZ-A
3,0.88,0.8006643113943112,0.8748324016453135,0.4490063086522185,156.7427765469966,98.79162283875168,0.0011954932629305937,0.46882407991025166,0.2514817118981949,0.1426468950638943,0.02393128314779803,0.04484283346935728,0.03775932416102876,0.8610073300769621,3.3339591347232482,COMPLETE,IZ-A
4,0.87,0.6363116352357953,1.3766383033767702,0.3699728540507516,138.77078228890454,105.80702860085057,0.0005871352052541836,0.49463905433689476,0.17020092364797956,0.16356301135594048,0.043128642985339645,0.16675636806481822,0.03245917086420595,0.8826571598536113,2.9808655953347523,COMPLETE,IZ-A
5,0.92,1.3849239937231532,1.1811747331082332,0.45691595633072263,145.23155520558308,111.79788520394479,0.0007759085083887904,0.4507578037879667,0.2112360618623007,0.12100418068905014,0.024106317356829488,0.26861695556254267,0.024942465685102472,0.7008606248370196,3.115492818641041,COMPLETE,IZ-A
6,0.87,0.6898408716086013,1.187046846021544,0.3876155331436573,167.53932138591088,111.23480621480624,0.0008532587089717075,0.5985409854139437,0.30961860759637827,0.16577340624171377,0.010803226837396887,0.1279219051734396,0.03752742087984357,0.7927464129732731,3.2113377408136885,COMPLETE,IZ-A
7,0.84,0.8881433719511296,1.0299436540684395,0.4385508398485427,159.7453837840079,123.95658632624358,0.0010121749601553513,0.4766303942160943,0.2837296185569531,0.1876584471501611,0.01622226687996385,0.08785946161260118,0.033669369221188294,0.7359560488678644,2.9223058160086337,COMPLETE,IZ-A
8,0.86,1.1370375024012218,1.0848070603019702,0.4991028379110134,140.4521345667147,117.2567842845217,0.0005734883790539461,0.40148022671720196,0.2987406800106388,0.15922078477219676,0.019212922508581268,0.08247206972828267,0.03861074007637582,0.7851771292745724,2.2233913777193086,COMPLETE,IZ-A
9,0.93,0.7875989680200554,0.904177283964636,0.4946012765996109,140.44314317354068,125.56193038757905,0.0010490228411437407,0.4562109853630407,0.3112617912646263,0.06843058459298519,0.011117197395493652,0.347357090606218,0.026416856083652282,0.7019299902727181,3.6324641899311776,COMPLETE,IZ-A
