number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.93,0.629,0.694,0.335,150.0,110.0,0.001,0.517,0.169,0.068,0.012,0.196,0.032,0.84,3.753,COMPLETE,IZ-A
1,0.93,1.0271531484448664,1.476153805879422,0.3006826786211921,163.19123780243189,107.55421139635553,0.000955954857713933,0.580116094131781,0.19296329239044996,0.14216473960454418,0.018662247591463225,0.21118950212755316,0.03934691475375104,0.7795100824880591,2.5787377870029444,COMPLETE,IZ-A
2,0.92,1.3884720199642357,1.0285962609989587,0.418094582711144,166.43568519752824,103.78280782273535,0.001177629737616048,0.4942779230834478,0.2025036855058549,0.1717844484977335,0.0313287335885532,0.3808870393715423,0.03717601487315622,0.8579012949213448,2.44980497472221,COMPLETE,IZ-A
3,0.96,0.5861340325536732,1.2320609468763575,0.35931888186143784,140.76491152363863,95.38315050561646,0.0007771839957178019,0.4826409331363875,0.20357433391311808,0.14709074133296998,0.04394373782987025,0.03144393458174703,0.03445403149937211,0.7965356227171787,3.829400540254646,COMPLETE,IZ-A
4,0.92,0.7950513250492451,1.0433467113217465,0.4452085468193895,136.945503003996,125.30233223001034,0.0009162761359080434,0.48435939649563353,0.2443300917959132,0.09269247054888313,0.034993081475113944,0.32817183813926354,0.020160470561832226,0.8255654215864809,3.4564067430075953,COMPLETE,IZ-A
5,0.93,1.3984223574848804,1.4963669633773171,0.34541045153760724,147.57938741144895,117.50489040556957,0.0014906358815465078,0.4406305935754426,0.17996669509819702,0.19811836790848347,0.013652091804485988,0.2149284599902205,0.03717755466407439,0.7916553946935774,2.0167184134776894,COMPLETE,IZ-A
6,0.84,0.7346983776714476,1.3031476676177403,0.323315713488139,153.57405197652145,93.43394569411407,0.0013607062481238317,0.4561067288421109,0.24251332739827816,0.11185184055633104,0.01615045722962089,0.3048193946205741,0.027231312943920595,0.768251045928252,2.573909456391035,COMPLETE,IZ-A
7,0.93,0.6671656128524146,1.0246363227881168,0.41157769386174725,145.02789679424217,98.97248453067687,0.001367622086073693,0.5414658296586898,0.31619368589842356,0.1595628496451674,0.034635087777977934,0.13176538181355546,0.035327016701430035,0.803658730452708,3.719847813993593,COMPLETE,IZ-A
8,0.91,0.5880905184571746,0.7592538588401029,0.3671091480132278,139.06518323527246,111.5772634445448,0.0007891175518485605,0.5012669431672968,0.23144296597337774,0.17569049242606205,0.010719683391762245,0.3372950218591864,0.0310052490363999,0.838328363940618,3.260931821059306,COMPLETE,IZ-A
9,0.92,1.4287734470447737,1.251542608351171,0.47008884700246567,166.56674939727364,106.60069322446913,0.0005400011213251568,0.5991271108847374,0.24557710907069535,0.11605992814373098,0.03425040652196941,0.2786617900419715,0.022384752478783878,0.8608040770367545,3.2613975171276968,COMPLETE,IZ-A
