number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.51,0.67,1.364,0.377,150.0,110.0,0.001,0.552,0.195,0.195,0.028,0.331,0.034,0.873,2.976,COMPLETE,IZ-A
1,0.49,1.457494889547486,1.0121409154080974,0.34580210680646384,160.84704419633027,95.03877398010557,0.001201464238030075,0.5742154999505673,0.3431264590928831,0.1964057517772536,0.01588077099921264,0.11021023308872671,0.027825613495623416,0.8252575914194902,2.94077062935884,COMPLETE,IZ-A
2,0.51,1.2752746103005412,0.632652443847246,0.3768929258490132,146.04442082776126,102.37121777795117,0.0010708492976792185,0.42826253245457724,0.30181792643433736,0.15800270433281802,0.026710454282454936,0.028272720031097362,0.02502486650554131,0.8621082599841631,3.6752005813855284,COMPLETE,IZ-A
3,0.49,1.157591593493887,1.4786233414734429,0.44664878042905287,154.18467277854853,112.09559613909191,0.001126256403473442,0.49798549393571895,0.16879897105804226,0.1711607114179144,0.047814721149354686,0.1972327101095771,0.03361057919927399,0.723387289894307,3.432333435185553,COMPLETE,IZ-A
4,0.49,1.4421963505267983,1.0868714390254743,0.3890807850526868,131.9586203044358,95.92435576233324,0.0012456254661033603,0.4670627381181111,0.16430740106389452,0.0684357337509092,0.012382576796038856,0.19482952974674303,0.025495819222316415,0.8214413077093409,2.9264884179981276,COMPLETE,IZ-A
5,0.51,1.0580067423553396,0.5139825945555192,0.35261369194166997,162.31283528438507,99.82391823033363,0.0012947542899743726,0.5445683564602347,0.30813442568241634,0.07973195409551398,0.04769545695084628,0.1313859139358339,0.028989747853894403,0.8483573153141981,2.1054682596611167,COMPLETE,IZ-A
6,0.49,0.880524509015088,1.0166261758699646,0.3224244608538475,139.78201225122598,105.46737798656669,0.0006264451527571749,0.5478292102305866,0.1919877927125301,0.10955652241112086,0.03047300079105817,0.11463379570692701,0.030642248250345706,0.8771770710606527,2.3658111692590897,COMPLETE,IZ-A
7,0.48,0.6496599505043944,1.10255292356964,0.4032077356557144,156.0622704300868,119.9668686066037,0.0005039691251752798,0.49468462952913556,0.15935009916059387,0.06282378421630012,0.04774148920192705,0.09010244552998542,0.02864598232830265,0.7096542125364568,2.0895904300118806,COMPLETE,IZ-A
8,0.5,0.9431190804383391,1.2525979597806618,0.49243354936126726,159.25510129174006,125.05994337566288,0.0011620438838086129,0.5619432670870769,0.16706480597494333,0.18880219491595734,0.017888775927466856,0.20221639706792396,0.02226580114601522,0.8931139690668861,2.8224801322572994,COMPLETE,IZ-A
9,0.48,1.032277573788393,1.0017489467914036,0.4148023654981696,149.08093053326112,116.92885158426454,0.0013560769892015478,0.44604480056691287,0.2931828100812123,0.09107343300929242,0.03627149340791366,0.3349013224220332,0.02991669294113196,0.8843388966148102,3.522029946900691,COMPLETE,IZ-A
10,0.53,0.5660007103036203,1.4397840440513854,0.4452356927293053,169.2199609465324,128.94844273650978,0.0008523850318186262,0.5972630085120951,0.22255845065979776,0.13344262557514777,0.025001820959903266,0.39204402196401106,0.03878706336218227,0.7705419068608412,2.576870727718567,COMPLETE,IZ-A
11,0.49,0.5016306262801467,1.4772858418684598,0.44651254125736517,169.00888772064812,127.79993619312286,0.000861892281592787,0.5985098238947442,0.2246076713315942,0.13499369390364024,0.022658808373841804,0.38988548230664266,0.03939016481141394,0.7724284150106283,2.5535950199276614,COMPLETE,IZ-A
12,0.53,0.7556754738202277,1.2992417045276443,0.4437091855886559,169.64724570928152,110.32668586196446,0.0008678119154540253,0.5996772703781145,0.23389870695299675,0.14210421065538847,0.03706346264359013,0.29982023331342594,0.039204939462876474,0.7703981666855773,2.5659552431301274,COMPLETE,IZ-A
13,0.5,0.7575764378840872,1.262552994572355,0.4752688130517363,166.66658369500553,121.09703544615013,0.0008714483106181117,0.5932807182205225,0.2539771279685702,0.13682246533262196,0.037751535886338165,0.2864046489921174,0.03992362050589362,0.7648461027915925,2.5209240488288294,COMPLETE,IZ-A
14,0.48,0.5293113848912834,1.2871066553351111,0.4453424146818477,169.82948358669375,129.77239711221955,0.0007933963938597376,0.5266609701727274,0.24476500627556122,0.10746676231380922,0.0383120999353658,0.39554016168255945,0.03679312851664267,0.7624278813866161,3.313054439804315,COMPLETE,IZ-A
15,0.51,0.7978871882310118,0.7761357448712949,0.42655151861983653,165.15487927114017,91.0740030949096,0.0007320408926550896,0.5218088321035104,0.2259085286965565,0.14808703768601134,0.0408438294941265,0.2722953837466717,0.03668686009941256,0.790103907090591,2.624386819944116,COMPLETE,IZ-A
16,0.5,0.642021431204953,1.395011869053579,0.47457513965348697,163.98808595208948,115.1538447866355,0.0009731470421753004,0.5815291080549644,0.2686302019291713,0.12206923499705347,0.032742448176783304,0.3395730086262708,0.036794837804093164,0.744284470475147,3.2293027135760006,COMPLETE,IZ-A
