number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.72,1.348,1.131,0.339,150.0,110.0,0.001,0.504,0.268,0.087,0.033,0.157,0.027,0.872,2.814,COMPLETE,IZ-A
1,0.65,0.9606909154261407,0.5926611807294441,0.3637892193976235,142.1065196288296,123.32776813573541,0.00076237760497908,0.5812000857327604,0.2316799271443941,0.1400599892770998,0.013535245461730742,0.02990472762331345,0.027753436388699346,0.8570674708648851,2.2547092304789516,COMPLETE,IZ-A
2,0.65,1.0973686156733957,0.5650400511051544,0.4739356602669867,145.48268056478489,109.76374299423583,0.0013507937251631204,0.48121366219644196,0.29992853189306823,0.1465687047679331,0.013870669044053882,0.2247339144160041,0.028385601741552073,0.7345310295064948,3.5559512657773658,COMPLETE,IZ-A
3,0.64,0.9365372579778264,0.9208712324597277,0.36901526918651306,149.60383049245834,92.05557202739658,0.0005972451565922869,0.5095319303984877,0.1846477570583648,0.1666105572552103,0.04677526601060758,0.3152711755088518,0.026805663690347745,0.7170848245464325,3.1538227722574748,COMPLETE,IZ-A
4,0.69,0.846848392492619,0.9382373530386738,0.3711660508953099,140.03805275848663,129.71208720601743,0.001369997535410308,0.5916846907669948,0.15104354714172738,0.18791042065949254,0.04683763996758637,0.15750569279862625,0.03315780601997984,0.8195940658662458,2.5789420996780814,COMPLETE,IZ-A
5,0.68,0.6969880197373794,0.5481499030995534,0.3583302346232005,139.9845598542838,101.09496585185452,0.0013609356802796128,0.5951721399214644,0.2776301422570341,0.16772135325790838,0.049104596163631095,0.28572024178977157,0.03067138073133134,0.8409354120698753,3.7506221190980042,COMPLETE,IZ-A
6,0.7,0.9741291146016826,0.7045361145974038,0.48297040182156076,155.60383770286614,123.93542353801305,0.0008710743129726774,0.5649322657815011,0.33246248697047576,0.07319805807287838,0.045759158851551206,0.09212273083168859,0.03874431693487364,0.8117480650938785,3.902617516560527,COMPLETE,IZ-A
7,0.7,0.7031496564436412,0.946523901936255,0.4229200513814347,139.6729151543062,102.97471048950445,0.0013220960220251153,0.5534693913581763,0.31322756079898084,0.07316824557456783,0.014475827432044492,0.3249642805673719,0.02915571143174646,0.7398723878957911,3.868535078099883,COMPLETE,IZ-A
8,0.79,1.2170474189517844,1.0557836734535564,0.43310287943153825,166.34117821618014,122.74543455540439,0.0014397266956960785,0.4668272084860888,0.19605278880057597,0.16878935430794229,0.01229205275852821,0.03216794313987151,0.03108288097685425,0.7397343314697111,2.2485496286023756,COMPLETE,IZ-A
9,0.68,0.9396889707567706,0.8591637190321622,0.34857068567471494,155.8869391929289,111.34603213166072,0.0010465317030145713,0.5217798015206844,0.26088394468280585,0.14714859083348483,0.023680378572949703,0.2187044716098883,0.02915908156261942,0.841549876344222,3.2267608370387064,COMPLETE,IZ-A
10,0.72,1.473428508662228,1.3746211372863284,0.43032397550649115,169.73974863148038,119.59474930588293,0.0011507240917953251,0.4133738615893861,0.21560199912904313,0.1072343495230365,0.028301814905198792,0.029107590233768632,0.02017295962084513,0.7783686268247907,2.1241217478302135,COMPLETE,IZ-A
11,0.77,1.3059458999573523,1.2233330286845572,0.303683732699365,169.38902198115343,113.77331911079263,0.0011356859956857192,0.4554529456124362,0.20474019386729622,0.10439159185075601,0.03525422511413218,0.12692049640115188,0.022397133943900884,0.8966406033408487,2.719916464180324,COMPLETE,IZ-A
12,0.74,1.2176301394524163,1.2160029487412354,0.30621523383760735,169.4037304650377,117.48301777748475,0.001480080961477515,0.4516832528114831,0.19413874481939725,0.1118957073217057,0.03666121715919933,0.10740312197823947,0.022249225308253472,0.8899336637731797,2.5074642684978037,COMPLETE,IZ-A
13,0.67,1.2305900494465598,1.4494389198725097,0.44240623317240546,130.0260264041189,117.44089578104483,0.001156359294077293,0.43664828847940207,0.1546309030294058,0.05029842896326232,0.021196523358835324,0.09377033854284919,0.03466519197799626,0.7558450397434545,2.788293465669202,COMPLETE,IZ-A
14,0.66,1.4323047970176117,1.1630042448498232,0.40101853576760327,162.16422537467378,129.6625576443178,0.0014999600557447969,0.46793055601946465,0.19451301306254437,0.19040833589776476,0.03961435106855614,0.38810767420793346,0.024034896731169278,0.7828379642845422,2.034441535942577,COMPLETE,IZ-A
15,0.79,1.1728417828429727,1.2280967536432286,0.30239293852828053,163.6160147021444,113.25348823697966,0.0011898367872785005,0.40008912985497597,0.22287026421354159,0.12258098419204595,0.021757826066298936,0.14916162593959068,0.034280589965648874,0.7120342664101755,2.4108904133247493,COMPLETE,IZ-A
16,0.72,1.1166637041840266,1.342701262433444,0.45758731668391067,162.3532597233923,105.57560566856867,0.001250615805059081,0.4012193998512103,0.2338235852582496,0.12608522444667192,0.020040608377682095,0.05484796390816113,0.0373922790279764,0.7051343135209359,2.370690422223382,COMPLETE,IZ-A
17,0.78,1.1073987722087577,1.0676864266947448,0.4996442488202719,162.57688062928878,123.57672157453709,0.001251206463948815,0.42965744524072835,0.23911162850042444,0.1655637039122149,0.026322852556397436,0.16243235479066412,0.03280661920357245,0.7584972950768941,2.371201844228922,COMPLETE,IZ-A
18,0.79,1.2452546058368925,0.7657503787626949,0.39937578284078273,157.16724285000575,93.81325605724912,0.0009296454405739345,0.4829759504461989,0.17131964621901588,0.12750686858513188,0.010183584401829506,0.2533269981392885,0.03668675312514935,0.7017957231525849,2.982138752555451,COMPLETE,IZ-A
19,0.75,0.5540587834175231,1.0351443869834032,0.3255831536145554,166.04795890289506,120.13193228174958,0.0005491011628166536,0.5259555443809993,0.2182150928648377,0.1998953495859391,0.017949457829265367,0.0657818208926062,0.03201518553486362,0.7297323400014447,2.2571896948411583,COMPLETE,IZ-A
20,0.75,1.3694573031422812,1.282832901731284,0.4004199452496087,158.6588385939906,115.68039066137871,0.001414747643243142,0.4319009890247532,0.17439486889915895,0.15459766547275955,0.010289374827641442,0.16674737949055424,0.03531064251912343,0.760609177587664,2.0078764267678446,COMPLETE,IZ-A
21,0.76,1.2180642836843307,0.7897118529690098,0.38979261238816987,157.9285294039834,90.6618617218711,0.0008584101805252558,0.4865293061493545,0.17297914087921315,0.1288745154840763,0.010413539825170518,0.2680493451033137,0.036210315944475935,0.70054567449235,2.987805667446808,COMPLETE,IZ-A
22,0.72,1.1799551035941824,0.6897596431554456,0.4247749018892964,165.31006638298769,96.77373914114018,0.0009010996040225079,0.48020945607198395,0.17302515480293712,0.11954442806367645,0.015704334187057065,0.26168588972085194,0.039851442755195324,0.7210003262000297,3.3153155896065396,COMPLETE,IZ-A
23,0.62,1.2816473061467002,0.8065489751508209,0.3850821215423124,152.94663001780197,95.54828355165722,0.0007064702757840553,0.46234582926881573,0.20967323167908242,0.09719688797395099,0.02336493345084104,0.19744143648499618,0.03118640030937637,0.7011790856668605,2.5574519560767572,COMPLETE,IZ-A
24,0.67,1.0641169672705209,1.0639803494362163,0.4491182221943227,164.88914463508877,106.3580010668419,0.000969715965492646,0.40016799731880887,0.24612321058249473,0.13222509722300727,0.018374556006692674,0.2420372322241602,0.03406584778441521,0.7435082746778003,2.9921378299448977,COMPLETE,IZ-A
25,0.8,1.4019479585879262,1.1251691406699609,0.32053526785297004,159.41731258823728,98.11535576301544,0.0010752323903550603,0.5388902232573124,0.16453271925938298,0.1796710910871231,0.010758136638098128,0.1896203458219014,0.037536607754226146,0.7190081337927112,3.441857076144398,COMPLETE,IZ-A
26,0.66,1.406206027500098,1.1279285107129307,0.321466642867705,160.50943132909626,98.42939729097333,0.001059647356198058,0.5490000583206746,0.19460237845535455,0.17896983670398864,0.017388095478041897,0.19747327565716963,0.03778091807964723,0.7867773796870832,2.2133824978345853,COMPLETE,IZ-A
27,0.74,1.4816809905386972,1.4477250414244707,0.3186991249360204,153.35318103202047,126.30166485318993,0.0012471890280334318,0.5392880892425196,0.2217566336525048,0.1795266884943451,0.02340294748821622,0.13976796037909525,0.03554688857584722,0.7190700239196534,3.4750515624444747,COMPLETE,IZ-A
28,0.73,1.3371250506585823,1.2786999221369202,0.3365826789222023,165.68434796935895,106.2306861926804,0.0010819173423922061,0.5204892586888972,0.16566098208642033,0.15621026097568677,0.013445768576272322,0.06393623523150418,0.03368672861839535,0.7519974033277722,3.530216693849885,COMPLETE,IZ-A
29,0.73,1.1552971469162474,1.1340446178545132,0.3410572392778182,160.7553439144615,110.40540615744081,0.0012014498815764967,0.501727962110659,0.25834932474222194,0.17648686583772058,0.0331606161365748,0.18370832395456846,0.02641295091748398,0.7679018725721581,2.689809775308315,COMPLETE,IZ-A
30,0.74,1.0556647062093614,0.9835770267278773,0.3108204921346874,148.70494957818482,113.93481849900868,0.001292513601795619,0.42026327669465613,0.2741933548168988,0.19946427480366521,0.02874511177475411,0.12496243110077129,0.03178608993813575,0.7274460405571365,2.399950979225722,COMPLETE,IZ-A
31,0.68,1.278398564308747,1.1103626455379756,0.41055430866975595,157.3402449376224,92.94653280300759,0.0009649429361194167,0.4910367943289506,0.18359032840752257,0.0893846128881301,0.010382983566486955,0.23517900063976055,0.03681021499261599,0.7128642853223615,2.9470344257216885,COMPLETE,IZ-A
32,0.67,1.3266651054416256,1.2090567319540846,0.3000412313396322,166.79381633451564,100.78412510108842,0.0007705517131664072,0.4452710174167582,0.16101378210132092,0.13736627235647564,0.012537068323417114,0.29274233709580244,0.038961908140332326,0.7418025333121286,2.860177633419471,COMPLETE,IZ-A
33,0.81,1.3918952353589025,1.0227174136589945,0.41469437145841204,153.16912418542591,94.92499034954423,0.0009954415334307524,0.4734630889898291,0.20116678947918742,0.11608633710434177,0.016030521907760775,0.3571586413988118,0.03582813919616337,0.7102801351903124,3.3552652655120956,COMPLETE,IZ-A
34,0.68,1.400383588239315,1.0165468037898562,0.46539193549021585,152.6807406758381,98.01688783148012,0.0010230454844967014,0.470918746551644,0.19801711771307576,0.11436467552808231,0.01592318538899044,0.3908793695709351,0.03477718111629905,0.7308660367296922,3.658149772006017,COMPLETE,IZ-A
35,0.7,1.365400825325911,0.905806504679496,0.4335883199454885,144.28095521593568,104.2988058791393,0.0010989348721959613,0.574209834481331,0.1853670000250234,0.1462264312005921,0.0205588943564674,0.3340528527463674,0.03264626332772906,0.7188960823365368,3.3995018050724166,COMPLETE,IZ-A
36,0.7,1.1567782889059532,1.0757305951239804,0.411578834893181,163.51748512030835,101.16124353282513,0.0014285351227903394,0.5055804202047827,0.23122937438471874,0.15760810299763078,0.012666080290792123,0.17713749087139358,0.030187273584864838,0.7125201999062944,3.63649948262,COMPLETE,IZ-A
37,0.66,0.8488560471059261,0.9768236068717873,0.3788326258835996,160.36352994693002,108.55033911458023,0.0012044179202019413,0.4949610237686638,0.2235036202585574,0.14038637379236532,0.0161244718651956,0.1435532072216104,0.038218101330691666,0.7462711429708541,3.2268543230593854,COMPLETE,IZ-A
38,0.68,1.4995646755107368,1.1646852469291322,0.35687010433684774,150.34171327183984,94.78804158878333,0.0008223931713246327,0.532924675158122,0.20621969188610606,0.09902767604436127,0.012590052949625829,0.2111615558579489,0.035744038428201834,0.7995259124116295,3.286674214871528,COMPLETE,IZ-A
39,0.75,1.4520876970030705,0.8820600385059711,0.41533566725890814,147.62952023751,90.5474277368433,0.0009891371632378366,0.4749601197884075,0.1867356601390207,0.11765900300232701,0.025537139670365448,0.3665290734581381,0.039790759267513125,0.7338791827771215,3.1669552036120456,COMPLETE,IZ-A
40,0.75,1.03554752557646,1.2745594445027508,0.33141938965828815,154.67607167028473,127.65726204096778,0.001387975522448405,0.5160422340792788,0.29400472903169783,0.08083461648599942,0.019263093101651505,0.34488367126854863,0.02705829036105046,0.770200069971154,3.994856472749911,COMPLETE,IZ-A
41,0.66,1.2662779603355396,0.6589233491774749,0.44057683768604916,158.79175422545995,93.5058217795064,0.0009280253880582595,0.48452756006440567,0.15068551454975126,0.1876541019580393,0.014714959942237604,0.294331226361818,0.03659880642737627,0.7102273691651476,3.087339547660268,COMPLETE,IZ-A
42,0.74,1.2416832875252888,0.9556731208210195,0.48148762097199305,155.99258438759222,99.38431625663641,0.0006569645461790847,0.46075251510849136,0.1646560144009378,0.1646797575997915,0.011287148273661802,0.3118527409106484,0.03402253987053534,0.7221523917850579,3.3719700438507783,COMPLETE,IZ-A
43,0.72,1.3788589602234065,0.504528475836761,0.3743598889646493,167.930909164304,121.43712415991074,0.0009262360446464607,0.44407333478768524,0.20529970391628555,0.13453067475810726,0.014232779221737402,0.26013810464632336,0.038919299714449185,0.7090629516027102,3.7308478933752838,COMPLETE,IZ-A
44,0.71,1.1823394541768715,0.8093289978223402,0.3156764206876126,151.70334220344012,95.0058370826236,0.0011259753340645887,0.511426414849171,0.18102433827044911,0.12212106814515532,0.011893511120918545,0.2311747472876119,0.03708639249141589,0.7003657162831577,3.106599491196325,COMPLETE,IZ-A
45,0.74,1.2888352160597272,0.7584790437685573,0.34984719703594763,164.17997987821656,112.83276742563572,0.0010188728805386022,0.55694308193249,0.33893104497730947,0.17326678388600011,0.017104890112568407,0.04719916402185248,0.029004774445684642,0.7372020276149932,2.6597597235247967,COMPLETE,IZ-A
46,0.72,1.3274498307229874,0.618278075091399,0.395558661798511,134.20366506998403,102.85223255031875,0.0008130291871381428,0.4758042208225971,0.16119576667532987,0.1104541187301437,0.021317839587799165,0.0807133020286383,0.03474135383947858,0.8557857345791289,2.4545317132361637,COMPLETE,IZ-A
47,0.71,1.4292501321808082,1.1872676624882124,0.41994268185140826,156.54026598438296,91.93694625362133,0.0011931933113852652,0.41416342734721223,0.21125575503692062,0.14686989005422296,0.013848268467999582,0.3603880986809148,0.03316667450633292,0.7254390702298905,2.1422435820160395,COMPLETE,IZ-A
48,0.64,0.98484682002208,1.3517506689363756,0.36465232325224584,154.65229255435736,108.95472563990502,0.0013205543576338334,0.5817892717636555,0.17768498450266126,0.10429828201915531,0.015182586295152418,0.1980551539370028,0.03608393926518675,0.8243822544171522,2.8406424870009137,COMPLETE,IZ-A
49,0.63,1.1075766721429094,0.8496746127973085,0.4537913837727542,167.71435125644663,96.22688927155959,0.001064205434787043,0.4971572832050888,0.19744437662611286,0.058575821016419005,0.010176638718742753,0.030361270004983246,0.03820367883170606,0.7129496481654318,2.268559293631423,COMPLETE,IZ-A
0,0.74,1.348,1.131,0.339,150.0,110.0,0.001,0.504,0.268,0.087,0.033,0.157,0.027,0.872,2.814,COMPLETE,IZ-B
1,0.72,1.1575048478116032,0.6930879582238011,0.32756653218959825,160.5920871379868,106.35519078176715,0.000578612728532931,0.4532770399757301,0.3396205231786998,0.1868615874350042,0.02576301989643539,0.09959517298516884,0.03968301280212502,0.7432708160002183,2.479439233076354,COMPLETE,IZ-B
2,0.72,1.036378675574276,0.9856886218056995,0.47805778826076867,165.7432360930194,114.66933875488174,0.0014463203888299002,0.5112264124586698,0.2128916493535997,0.16180598050911443,0.011833086894290811,0.38471613441746866,0.03478775716884594,0.8110704163488706,3.935735297552057,COMPLETE,IZ-B
3,0.72,0.9055132691169319,0.6807014576514459,0.37620789581740494,152.414867243645,99.96638728244731,0.0014264991333086275,0.4642952412138972,0.3213805615590322,0.057629325456014895,0.03699879884316312,0.19653686347569993,0.03915082658824198,0.8577871059830761,3.8322704167159127,COMPLETE,IZ-B
4,0.8,0.834283400403125,0.9660796926401806,0.4156270508051122,166.52932765006193,106.2126341986733,0.001045897782650555,0.44817940620659974,0.1544607626498122,0.07026326963220875,0.04650467667364834,0.39545598542761634,0.03232159147985549,0.8265954419633481,2.884828327739746,COMPLETE,IZ-B
5,0.7,1.0791881313415712,1.25530037820945,0.4178949058950469,135.2942662200613,113.79532015579159,0.001176337690704235,0.5232910218978686,0.19987453042260525,0.10736956254173599,0.03837631328567094,0.20206043435561524,0.020368061326469306,0.7694619863413945,3.0451075191220984,COMPLETE,IZ-B
6,0.69,0.5054068075099825,0.9936661411462763,0.45207034696378773,151.48474055855186,90.90929639818596,0.0011657286805073462,0.41300195165811754,0.22861812056371647,0.17346781063876096,0.04778761295685376,0.10935012911702822,0.02343456020809054,0.7571348893522809,2.70559512639701,COMPLETE,IZ-B
7,0.77,1.4510609317046632,1.0032983798320108,0.40296773141770104,146.2564087021476,123.23341124844785,0.0006783649906957582,0.5262525850629897,0.24615063777967128,0.08989476999386736,0.02685424660491973,0.17936745646881086,0.020514799846447426,0.891626320564022,2.335946793952459,COMPLETE,IZ-B
8,0.74,1.2125640280772667,1.327716168074596,0.3529840603959641,169.019184531503,104.98906815593779,0.0013794916716988446,0.5938453031869475,0.34644878302214904,0.1345698624828711,0.014755394270735057,0.2595461539776179,0.02622006304525783,0.8169773387305803,3.025287526130541,COMPLETE,IZ-B
9,0.76,0.8687368023606666,1.0592484853547812,0.3965382606091956,159.41144557635215,106.21763084807372,0.001033671770232838,0.4643985745511133,0.27103012450613395,0.13689126888297332,0.022663032952384296,0.1544693490437524,0.029115541959070533,0.8958168768931027,3.60902629276898,COMPLETE,IZ-B
10,0.78,0.6739867250612083,1.4760233663981766,0.4519108165957127,130.99027619679495,126.9456226497361,0.0008215477596073015,0.409609139623352,0.15191567818900079,0.05096406315064034,0.04915560368235593,0.39532507407333445,0.03316394484210181,0.7081208436711411,3.391427322722066,COMPLETE,IZ-B
11,0.65,0.6773353151207737,1.4518872898843644,0.4479631168530174,134.78792153546738,129.80631012765306,0.0007878230173781488,0.40554303868194347,0.1505999561794581,0.051061921966366414,0.04967696941579873,0.38566610617636826,0.03371012664535325,0.7148448547462833,3.3627827474283656,COMPLETE,IZ-B
12,0.77,0.7116339831136004,0.8114785145542434,0.4998461774461138,141.69044451832096,122.53750397593113,0.0009105595939313749,0.4326547362607584,0.15806324935026422,0.07181843980473011,0.0428284769329303,0.2863831273697673,0.0330011712422686,0.8425199922992851,2.0064570483584063,COMPLETE,IZ-B
13,0.75,0.7219757105651482,0.7963619838952248,0.43476913328662187,130.9722669283124,100.03695315559278,0.0008355321041895019,0.4400888520501276,0.1813653406923046,0.07473727477855352,0.044138164601726176,0.32238058466462993,0.031241909847077018,0.7102677301011975,3.3567015826923203,COMPLETE,IZ-B
14,0.75,0.5146467245255923,0.5051870589002785,0.4671921831319857,141.753549094591,119.95944267463524,0.001084813972931353,0.48018145135939433,0.18399164246832186,0.1044494762073287,0.04257992683936012,0.3301545350023637,0.03438080705030381,0.78880751290019,3.252583795447306,COMPLETE,IZ-B
15,0.68,0.8728581058260969,1.4431277160799034,0.42605068758584136,158.08137462903932,129.65370506132697,0.0007159121919821467,0.4236549518443057,0.17587159583770082,0.052163190736459836,0.03567395554939968,0.3455212174817486,0.03655824855106101,0.8356462194443122,3.6293158170825692,COMPLETE,IZ-B
16,0.75,0.6308116402776662,1.2213453456552683,0.37664048764343,163.8906910831087,90.96687204046677,0.0012747949735718075,0.5663406396500381,0.30043455266062596,0.1137732288571123,0.04695656461612361,0.023704002047010647,0.03001943468995219,0.7866975423845098,2.77296868639489,COMPLETE,IZ-B
17,0.72,0.79023160379294,0.8550677419401631,0.49814122996455623,156.21751309303943,98.11616850371823,0.0005223555521594791,0.40026888093534696,0.20923761746464584,0.07026178411322428,0.04126992112282916,0.27385212764583466,0.03673419345570759,0.7331052618487368,3.5618040393915833,COMPLETE,IZ-B
18,0.7,0.9627804447442632,1.1732551596878267,0.40490500872383806,142.2792642975248,115.83260575296586,0.0009177355037291052,0.4796451123631879,0.1661342815244788,0.08765100604810433,0.03184631631949154,0.39675077873851705,0.03161768122656696,0.8281766933411616,3.10071504417379,COMPLETE,IZ-B
19,0.7,0.6056552565047393,1.361818881157265,0.30364319865998846,130.78250300804723,110.1977215767709,0.0009058688795045595,0.44178085398572625,0.19358833539785686,0.14522125707171896,0.0499881936126429,0.3542066878742574,0.027751104790573248,0.8000675546748744,2.493022294666738,COMPLETE,IZ-B
20,0.7,0.7889685739474371,1.1014240373638071,0.4733049064022931,169.3610734783336,95.74720196769375,0.001118104740654703,0.48425880241196756,0.2265740345427767,0.06565031803879058,0.02094012092110379,0.30379680683412286,0.03670242945496972,0.7711804435520759,3.1903280818810402,COMPLETE,IZ-B
21,0.66,1.480460098688953,0.9191325838314163,0.38597753092979736,144.71823130197575,125.27642988753652,0.0006620103951356436,0.5368036341485609,0.24995873062967117,0.09256798758005419,0.028670958198334533,0.25094579644109194,0.024521701123999127,0.8869215073765304,2.1094570502074834,COMPLETE,IZ-B
22,0.68,1.476927422372077,0.6726784723031562,0.4103223594726041,147.09314175093948,119.80492377755822,0.0006987900172378763,0.5478570880932495,0.29641934966408934,0.08217909371080213,0.01824828821539516,0.17309516220406196,0.031606809775529834,0.861943105972126,2.3067981306106855,COMPLETE,IZ-B
23,0.76,1.2978624146902715,1.4969682628861913,0.4380429958933367,137.8599715017028,123.08310057641143,0.0008273415765170734,0.5646235394555055,0.15007613483096052,0.0961371289756814,0.02690599375868197,0.23334150392617256,0.02075237512625116,0.8756856849370322,2.5515520322654943,COMPLETE,IZ-B
24,0.73,0.7998147253542336,0.9169889766559421,0.36324811165807414,147.69750211122005,126.67417045056155,0.0007648896696082017,0.4261281938380513,0.24409825405876884,0.0638487355856656,0.045900622214191125,0.36240832139843965,0.022775558955006308,0.8527862065261941,2.267006933106984,COMPLETE,IZ-B
25,0.7,0.9976537391365491,1.055980537083822,0.3950803495291862,154.5153765412578,117.67948698746513,0.0005813703233845968,0.4920719781174988,0.16854654141465802,0.11694506208145439,0.04014677071464249,0.10906621241863913,0.029207697047294687,0.7297069422979756,2.891266531118922,COMPLETE,IZ-B
26,0.63,1.375125597505455,0.5055926460347728,0.4517694508435103,162.3767035873932,111.66677957304026,0.0006309759175145045,0.4620433785481576,0.22329561847629667,0.07548887332756828,0.032881871630852835,0.04990190670421049,0.03267680132509797,0.7011756730605875,3.474930557551489,COMPLETE,IZ-B
