number,value,params_c1,params_c2,params_c3,params_inputWeights_max,params_inputWeights_min,params_interSpeciesRate,params_keep,params_noCrossoverOff,params_probabilityAddLink_Large,params_probabilityAddLink_small,params_probabilityAddNodeLarge,params_probabilityAddNodeSmall,params_probabilityWeightMutated,params_threshold,state,study_name
0,0.86,1.111,0.516,0.354,150.0,110.0,0.001,0.421,0.265,0.081,0.041,0.094,0.035,0.842,3.32,COMPLETE,IZ-A
1,0.75,0.9581893946442854,0.8454812202327454,0.354388266960257,135.3203116366283,90.04696353952075,0.0012086994840976085,0.5967341515336038,0.19147259803661287,0.06136781792474267,0.03107379229611848,0.0331245175793998,0.021512338075705167,0.7859250698217269,3.86639848006475,COMPLETE,IZ-A
2,0.75,1.3920753040340468,1.2446685705787905,0.443119332626053,158.10395597547694,92.15715088888504,0.0013662731397831268,0.5984713636258878,0.2291959756918832,0.08905327964983953,0.04915528687747164,0.09731165363245552,0.039311172710233044,0.8999513972330762,3.9256036661554177,COMPLETE,IZ-A
3,0.77,1.1055865587116718,1.4662959104950373,0.32851759130664954,165.44881432407644,122.45953153321913,0.00062945636975301,0.5131236884122707,0.33145121332790345,0.08505332380799013,0.048472712965586244,0.24779191337348982,0.026411273461202044,0.8487889135326391,3.015380647652986,COMPLETE,IZ-A
4,0.74,1.3094097626918049,0.765521550084747,0.36709374137589584,168.50380137419447,121.31862423936997,0.0006003808398740822,0.41816394619600744,0.2641671808664031,0.1479273615796858,0.030192738045811178,0.24422330225384883,0.028702801436550865,0.7513056880608036,3.8572386639671596,COMPLETE,IZ-A
5,0.75,1.3660243132043899,1.0983052229383468,0.3911148739613286,132.9002724663284,125.50701069359684,0.0007464202068117868,0.44975539833798034,0.2525984339012578,0.13284259193610937,0.017980007570919394,0.3619355764825521,0.03746326969989043,0.8645972572277181,3.4758524396280537,COMPLETE,IZ-A
6,0.8,0.7803538502636976,1.3682191220049043,0.34661208244045383,146.9408385544475,91.81445464078706,0.000853632926790888,0.5583292800930617,0.22104362650572404,0.17578938528322302,0.01654195987685589,0.23864134050684982,0.03955061501436935,0.8410471631899865,3.850426227440838,COMPLETE,IZ-A
7,0.74,1.1132968068980136,1.4740544916623741,0.4097000232769515,169.52568997907412,93.03990030120123,0.0009792667933515068,0.45904612873836914,0.33424793082978127,0.14833506701399618,0.03280180243590891,0.04870705160484222,0.03330269930181544,0.8184443657191651,2.5392965963999,COMPLETE,IZ-A
8,0.76,1.3926106571108519,1.4086545625736824,0.39536441633207103,165.69258654696787,97.02174119684847,0.001100657686085839,0.4322778705573051,0.19855028991561255,0.1276104130172227,0.046666625171739494,0.055020876111866845,0.028980614359977605,0.8434373482261259,2.4107166065537857,COMPLETE,IZ-A
9,0.79,1.1551838344328165,0.7147612367370385,0.4083462079154595,148.91105926654615,100.4445297254243,0.0013380797144389783,0.5303500735618387,0.19333712857382734,0.18607596838874468,0.012993675268612313,0.12593589873541872,0.02879076955172845,0.7132834227723601,3.7150271062776246,COMPLETE,IZ-A
10,0.73,0.6423745806120285,0.5410590468128502,0.4885505770509633,143.44432313984746,110.73452899539782,0.0014858872729918947,0.48010750739231217,0.28685498953432537,0.05175099400524279,0.03973766754139747,0.15697941254413475,0.03380826195621998,0.7921883320267201,3.13922546955533,COMPLETE,IZ-A
11,0.71,0.7868911717463889,1.0256904324455756,0.31029565856739183,151.70571188820114,106.26666015855062,0.0009050237658961308,0.5512868735565404,0.16269924088400803,0.19907232269552486,0.02231193908700437,0.3113072129956057,0.03528748640285001,0.8897322607713852,3.3604248273314385,COMPLETE,IZ-A
12,0.75,0.8694985443823896,0.5314240190175353,0.3457090280846609,142.13594293722642,113.9091157406382,0.0008449985497231995,0.5688662163496567,0.2868771271592145,0.09739218681361175,0.0388405946165534,0.1982264853197135,0.039827947980900294,0.8266876069502139,2.0038918749945993,COMPLETE,IZ-A
